bookID,average_rating,ratings_count
1,4.56,1944099
2,4.49,1996446
3,4.47,5629932
4,4.41,6267
5,4.55,2149872
8,4.78,38872
9,3.69,18
10,4.73,27410
12,4.38,3602
13,4.38,240189
14,4.22,4416
16,4.22,1222
18,4.38,2801
21,4.2,228522
22,3.43,6993
23,3.88,2020
24,4.07,68213
25,3.9,47490
26,3.83,43779
27,3.87,46397
28,3.92,76476
29,3.94,26672
30,4.59,97731
31,4.49,1670
32,4.49,2819
34,4.35,2009749
35,4.49,1606
36,4.53,18934
37,4.5,343
38,4.49,216
40,3.61,1214
45,3.89,1269
50,3.7,254827
51,3.97,35
53,3.87,1996
54,4.33,6
55,3.48,99
57,3.75,167
58,3.6,957
59,4.07,4319
61,4.17,1155
63,3.56,295
66,3.99,341
67,3.83,28962
68,3.83,50
69,3.83,22
71,3.83,1398
72,4.16,50
73,3.83,15
74,4.43,550
75,3.95,1561
76,4.15,253
77,4.24,3365
78,4.33,2966
79,4.22,5452
80,3.91,671
81,4.22,533
83,4.22,1263
85,3.73,1348
86,3.83,2732
89,3.94,31
90,3.75,61
91,4.45,822
92,3.7,71
93,3.98,150657
94,3.28,53
96,4.45,34
98,3.88,11489
99,3.82,34
100,3.75,75
103,3.83,2692
105,3.9,38651
106,3.87,96649
107,4,755
109,3.85,261
110,3.87,4561
112,3.92,84276
117,3.85,45211
122,4.35,66687
123,4.35,44
129,4.28,16
130,3.31,163
131,3.79,10
132,3.49,73
133,3.5,102
135,3.62,24
137,3.52,51
138,4.27,9
139,3.55,19
140,3.89,17
141,3.82,163
142,4.09,47
144,4.08,12
147,3.65,49
151,4.04,15747
152,4.04,108970
153,4.04,2835
154,3.89,15
155,4.04,9362
156,4.04,460
157,4.04,298
159,2.96,400
160,4.19,1191
162,3.7,3168
163,3.96,2077
164,3.89,587
165,3.82,299
166,4.33,9
168,3.58,16
171,3.4,10
177,3.94,17
180,3.99,985
181,4.01,37
182,3.57,14
201,4.01,6
204,4.11,366
205,4.11,2934
207,3.94,346
208,3.6,9530
213,3.91,770
214,4.04,688
216,3.94,2739
231,3.41,20508
237,3.9,64
244,4.04,76
245,4.23,937
247,3.69,3237
249,3.69,50905
250,3.82,13549
251,4.09,3181
252,4.04,7024
253,3.83,2627
264,3.77,60027
269,3.77,386
275,3.75,22014
278,3.85,918
280,3.67,1939
281,3.68,532
283,3.89,312
285,3.67,201
288,4.2,33
289,4.19,320
290,3.98,1272
291,3.92,6175
292,4.08,2893
295,3.83,301399
296,3.83,393
297,3.83,5900
298,3.83,103
299,3.83,56
302,4.04,85
304,3.83,19852
313,4.63,81
320,4.06,547207
324,4.06,54
325,4.06,73
330,4.04,2724
332,3.58,89
333,3.46,206
337,4.02,3956
338,4.24,4157
343,4.02,212561
347,4.01,250
348,4.01,16743
349,4.17,3667
350,3.92,241727
352,4.07,3192
354,3.87,10140
355,3.78,15580
356,3.97,6723
357,4.06,65988
359,3.92,21562
360,3.97,72235
362,4.14,2548
367,3.6,864
377,3.92,5
378,4.21,206193
382,4.1,94
385,3.57,8773
386,3.78,9053
394,4.13,119
397,4.53,4967
399,3.92,1471
400,3.99,11361
402,3.68,8085
403,3.43,367
404,3.42,1285
406,3.22,449
407,3.48,2385
408,3.64,2990
409,4.12,5110
410,3.96,1364
411,3.7,2132
412,4.02,752
413,4.06,7756
414,3.68,668
415,4.02,28034
416,3.5,322
418,3.81,2356
420,3.88,2507
421,4.17,10584
422,3.8,2790
423,3.86,2665
425,3.81,1963
426,4.49,1486
428,3.87,21868
431,3.9,40276
432,3.79,11696
434,3.65,3443
435,3.89,2818
444,3.91,70
446,3.83,17317
447,3.98,14594
449,3.68,9200
450,3.92,120
453,3.9,354
454,3.23,6492
456,3.95,11238
463,3.77,2306
466,4.4,20
472,3.77,126
475,3.93,49219
476,3.39,207
477,4.13,676
478,3.79,4418
481,3.92,58
484,4.39,269
493,4.01,2506
494,3.77,2613
497,3.95,102
498,4.12,100
505,3.96,765
511,3.77,474
515,4.04,1525
523,3.92,66
524,3.67,369
525,3.67,1122
531,4.11,1601
534,4.15,1
537,3.79,6315
538,3.79,366
539,3.81,1346
565,4,767
570,3.8,540
576,3.84,274
597,3.83,25004
599,3.74,59646
604,3.77,125
619,3.51,462
629,3.77,157734
639,4.08,1730
642,3.72,271
643,3.83,36
650,3.96,27
655,4.1,7123
656,4.11,201919
658,4.13,2256
661,3.65,65
662,3.68,311883
663,3.68,2674
664,3.86,1860
665,3.5,11122
667,3.63,106642
668,3.91,22587
669,3.87,3426
670,3.97,18
672,3.94,135
675,3.87,602
676,4.23,11894
678,3.63,47
681,3.08,1575
685,3.63,8568
698,3.55,16703
700,3.77,44
702,3.59,221
703,3.75,31270
706,4.02,79299
707,3.59,8623
