bookID,title,authors,language_code
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,eng
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,eng
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,eng
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,eng
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,eng
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,eng
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,en-US
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,eng
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,eng
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,eng
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,eng
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,en-US
21,A Short History of Nearly Everything,Bill Bryson-William Roberts,eng
22,Bill Bryson's African Diary,Bill Bryson,eng
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,eng
24,In a Sunburned Country,Bill Bryson,eng
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,eng
26,The Lost Continent: Travels in Small Town America,Bill Bryson,en-US
27,Neither Here nor There: Travels in Europe,Bill Bryson,eng
28,Notes from a Small Island,Bill Bryson,eng
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,eng
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,eng
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,eng
32,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,eng
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,eng
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,en-US
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,eng
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,eng
38,The Lord of the Rings Box Set,J.R.R. Tolkien,eng
40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,eng
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,eng
50,Hatchet,Gary Paulsen,eng
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes-Edward Sciranko-Keith Vasconcelles,eng
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,eng
54,Molly Hatchet - 5 of the Best,Molly Hatchet,eng
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,en-US
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,eng
58,Changeling (Changeling  #1),Delia Sherman,eng
59,The Changeling Sea,Patricia A. McKillip,eng
61,The Changeling,Zilpha Keatley Snyder,eng
63,The Changeling,Kate Horsley,eng
66,The Changeling (Daughters of England  #15),Philippa Carr,eng
67,The Known World,Edward P. Jones,eng
68,The Known World,Edward P. Jones-Kevin R. Free,en-US
69,The Known World,Edward P. Jones,eng
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,eng
72,Artesia: Adventures in the Known World,Mark Smylie,eng
73,The Known World,Edward P. Jones,eng
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,eng
75,Uncommon Carriers,John McPhee,en-US
76,Heirs of General Practice,John McPhee,eng
77,The Control of Nature,John McPhee,en-US
78,Annals of the Former World,John McPhee,eng
79,Coming Into the Country,John McPhee,eng
80,La Place de la Concorde Suisse,John McPhee,eng
81,Giving Good Weight,John McPhee,eng
83,Rising from the Plains,John McPhee,eng
85,The Heidi Chronicles,Wendy Wasserstein,eng
